komentar,analisis
perintah organisasi kriminal negara,"1. Komentar 1: Sentimen Negatif. Indikasi Buzzer: Tidak. Topik: kerusakan alam. Alasan: Komentar ini fokus pada harga minyak sawit yang mahal dan tidak langsung membahas kerusakan alam di Raja Ampat.

2. Komentar 2: Sentimen Negatif. Indikasi Buzzer: Tidak. Topik: isu sosial. Alasan: Komentar ini mengkritik orang yang dianggap tidak peduli terhadap masalah negara, yang dapat diinterpretasikan sebagai kritik sosial.

3. Komentar 3: Sentimen Negatif. Indikasi Buzzer: Ya. Topik: kerusakan alam. Alasan: Komentar ini menyerang individu yang disebut Mulyono dan mengkritik praktik perusahaan yang mungkin menyebabkan kerusakan alam.

4. Komentar 4: Sentimen Negatif. Indikasi Buzzer: Tidak. Topik: konten settingan/isu sosial. Alasan: Komentar ini membahas isu pajak dan korupsi, yang terkait dengan isu sosial dan bukan langsung terkait kerusakan alam.

5. Komentar 5: Sentimen Negatif. Indikasi Buzzer: Tidak. Topik: kerusakan alam. Alasan: Komentar ini mengkritik hasil tambang yang menyebabkan sengsara rakyat, yang dapat diinterpretasikan sebagai kritik terhadap kerusakan alam.

6. Komentar 6: Sentimen Negatif. Indikasi Buzzer: Tidak. Topik: konten settingan. Alasan: Komentar ini mengkritik cara orang bicara (“perintah muak miris konyol”) dan tidak langsung membahas kerusakan alam.

7. Komentar 7: Sentimen Negatif"
salfok baju bang,"1. Komentar 1: Sentimen: Tidak ada sentimen yang bisa diambil karena komentar tersebut hanya nama-nama tanpa konteks. Indikasi buzzer: Tidak. Topik: tidak relevan. Alasan: Komentar ini tidak menunjukkan sentimen positif atau negatif terhadap kerusakan alam di Raja Ampat.

2. Komentar 2: Sentimen: Negatif. Komentar ini mengkritik pemerintah dan tidak mendukung pelestarian alam. Indikasi buzzer: Tidak. Topik: isu sosial. Alasan: Komentar ini menunjukkan kekecewaan dan menyalahkan pihak berkuasa, bukan langganan terhadap kerusakan alam.

3. Komentar 3: Sentimen: Negatif. Komentar ini menyampaikan kritikan tentang penanganan wisata dan eksploitasi sumber daya alam di Raja Ampat. Indikasi buzker: Tidak. Topik: kerusakan alam. Alasan: Komentar ini menunjukkan kekecewaan dengan kondisi alam yang dipecahkan untuk wisata, bukan sentimen positif.

4. Komentar 4: Sentimen: Tidak relevan dengan topik kerusakan alam. Indikasi buzzer: Tidak. Topik: konten settingan. Alasan: Komentar ini membahas film Avatar dan tidak berkaitan dengan kerusakan alam di Raja Ampat.

5. Komentar 5: Sentimen: Negatif. Komentar ini menyampaikan kekecewaan dan meminta pertolongan dari Tuhan terhadap kerusakan alam di Raja Ampat. Indikasi buzker: Tidak. Topik: kerusakan alam. Alasan: Komentar ini menunjukkan sentimen negatif terhadap kondisi alam di Raja Ampat.

6. Komentar 6"
perintah kaya org s m sampe professor gt gt deh tp kaya ga mikir bgt sbnrnya napas,"1. Sentimen: Negatif
   - Indikasi Buzzer: Ya
   - Topik: Kerusakan alam / isu sosial / konten settingan
   - Alasan: Komentar ini menunjukkan kekesalahan dan kekesalahan terhadap pemeliharaan alam, serta menyisihkan tanggung jawab terhadap kerusakan Raja Ampat. Komentar ini juga menunjukkan kritikan sosial terhadap individu dan institusi yang diperkirakan tidak melakukan apa-apa untuk memelihara alam.

2. Sentimen: Negatif
   - Indikasi Buzzer: Ya
   - Topik: Kerusakan alam / isu sosial
   - Alasan: Komentar ini menyampaikan kekhawatiran tentang keadaan alam di Raja Ampat tanpa memberikan solusi, menunjukkan kekesalahan atau kekurangan kepedulian.

3. Sentimen: Negatif
   - Indikasi Buzzer: Ya
   - Topik: Kerusakan alam / isu sosial
   - Alasan: Komentar ini menggunakan sarangan yang agresif dan tidak relevan dengan isu kerusakan alam, mungkin menunjukkan kekeliruan atau kekurangan fakta tentang situasi di Raja Ampat.

4. Sentimen: Tidak Relevan
   - Indikasi Buzzer: Ya
   - Topik: Konten settingan
   - Alasan: Komentar ini seperti memuat referensi ke cerita anime One Piece dan tidak berkaitan dengan diskusi tentang kerusakan alam di Raja Ampat.

5. Sentimen: Negatif
   - Indikasi Buzzer: Ya
   - Topik: Isu sosial
   - Alasan: Komentar ini menunjukkan kritikan sosial terhadap negara dan memetik gejala korupsi tanpa memberikan solusi, menyampaikan pesan negatif tentang keadaan saat ini"
sesuai nama bahlul,"1. Komentar 1: Sentimen Negatif. Indikasi Buzzer: Tidak. Topik: Kerusakan Alam. Alasan: Komentar ini menunjukkan kekesalan atas keadaan Raja Ampat yang ""serakah"", yang mungkin menyimpulkan kerusakan alam yang serius.

2. Komentar 2: Sentimen Negatif. Indikasi Buzzer: Tidak. Topik: Konten Settingan. Alasan: Komentar ini menyangkal dampak tambang dan menggunakan simbol ""wkwkwkwk"", yang menunjukkan kekurangan peduli terhadap isu-isu serius seperti kerusakan alam.

3. Komentar 3: Sentimen Tidak Terdeteksi. Indikasi Buzzer: Tidak. Topik: Isu Sosial. Alasan: Komentar ini menyampaikan ""indo nauru"" tanpa konteks yang jelas, dan tidak langsung berkaitan dengan kerusakan alam.

4. Komentar 4: Sentimen Negatif. Indikasi Buzzer: Tidak. Topik: Isu Sosial. Alasan: Komentar ini menyangkal kerusakan alam dan menyalahkan perintah, menunjukkan kekurangan peduli.

5. Komentar 5: Sentimen Negatif. Indikasi Buzzer: Tidak. Topik: Kerusakan Alam. Alasan: Komentar ini mengkritik ""pimpin"" yang membenarkan peristiwa kerusakan alam tanpa pertimbangan jangka panjang.

6. Komentar 6: Sentimen Tidak Terdeteksi. Indikasi Buzzer: Tidak. Topik: Isu Sosial. Alasan: Komentar ini menggunakan kata ""si bahlul"" dan ""jangka pendek"" tanpa konteks yang jelas, dan tidak langsung berkaitan dengan kerusakan alam.

7. Komentar 7: Sentimen Tid"
ferry izin saran tema tabung gas masyarakat miskin susah dapat hidup salah kabupaten jatim kendala utama tabung gas isu tabung gas cuat tabung gas normal dapat krisis tabung gas parah susah banget tabung gas jual resah distributor jarang mengirkmkan tabung gas harap ferry bantu unggah isu terimakasih,"1. Komentar 1: Sentimen Negatif. Alasan: Komentar membahas nafsu main judol (instan uang) terhadap kerusakan alam, menunjukkan kekurangan peduli terhadap pelestarian alam. Indikasi buzzer: Ya (nafsu instan menjadi isu). Topik: kerusakan alam.

2. Komentar 2: Sentimen Tidak Relevan. Alasan: Komentar hanya mengkritik bagaimana thumbnail video, tanpa berkomentar langsung tentang isu kerusakan alam di Raja Ampat. Indikasi buzzer: Tidak. Topik: tidak relevan.

3. Komentar 3: Sentimen Negatif. Alasan: Komentar mengkritik perintah yang diduga tidak berkesan dalam mengurangi dampak negatif seperti keterlambatan rusa. Indikasi buzzer: Ya (menyangkal efektivitas upaya pelestarian). Topik: kerusakan alam.

4. Komentar 4: Sentimen Negatif. Alasan: Komentar menceritakan kerusakan alam yang parah di Raja Ampat, termasuk limbah nickel, debu, dan pencemaran sungai laut. Indikasi buzzer: Ya (berfokus pada kerusakan alam). Topik: kerusakan alam.

5. Komentar 5: Sentimen Negatif. Alasan: Komentar mengkritik keadaan negara yang hancur dan menyalahkan faktor-faktor yang menyebabkannya, termasuk kerusakan alam. Indikasi buzzer: Ya (mengkritik keadaan negara). Topik: kerusakan alam.

6. Komentar 6: Sentimen Negatif. Alasan: Komentar mengkritik masyarakat yang lebih tertarik dengan uang instan daripada mengambil berat tentang pelestarian"
ya elu bodoh warga indog pilih presiden modal joget,"1. Komentar 1: Sentimen Negatif. Indikasi Buzzer: Tidak. Topik: isu sosial. Alasan: Komentar ini mengkritik ketidakpeduliannya terhadap kemusnahan alam dengan menggunakan kata ""tolak"" dan ""egois"" untuk menunjukkan kekecewaan terhadap ketidakpeduliannya.

2. Komentar 2: Sentimen Negatif. Indikasi Buzzer: Tidak. Topik: kerusakan alam. Alasan: Komentar ini menggunakan kata ""antik"" dan ""moloyon"" untuk mengingatkan tentang kemusnahan dan perilaku yang menyebabkannya.

3. Komentar 3: Tidak ada komentar.

4. Komentar 4: Sentimen Negatif. Indikasi Buzzer: Tidak. Topik: isu sosial. Alasan: Komentar ini menggunakan bahasa yang kritis terhadap kebodohan dan kebodohan orang lain terhadap isu kemusnahan alam.

5. Komentar 5: Sentimen Negatif. Indikasi Buzzer: Tidak. Topik: isu sosial. Alasan: Komentar ini menggunakan kata ""bahlul"" untuk mengingatkan tentang kebodohan orang lain terhadap kepentingan pelestarian alam.

6. Komentar 6: Sentimen Negatif. Indikasi Buzzer: Tidak. Topik: kerusakan alam. Alasan: Komentar ini menggunakan kata ""tamak"" dan ""korban alam"" untuk mengingatkan tentang hubungan antara perilaku manusia yang berlebihan dan kemusnahan alam.

7. Komentar 7: Sentimen Negatif. Indikasi Buzzer: Tidak. Topik: isu sosial. Alasan: Komentar ini menambahkan rekor korup"
say percaya kunjung bahlil pulau gag area papua tambang nikel jalanjalan kesana bang bukti nyata pakai helikopter tunjuk dunia akibat tambang nikel papua pulau gag,"1. Komentar 1: Sentimen Negatif. Alasan: Komentar ini menunjukkan kekecewaan dan kritik terhadap penglibatan partai politik dalam pelestarian alam, yang dianggap tidak bermanfaat. Indikasi buzzer: Ya (karena menyalahkan pelestarian). Topik: kerusakan alam / isu sosial.

2. Komentar 2: Sentimen Tidak Tentu. Alasan: Komentar ini tidak menunjukkan sentimen yang jelas, hanya menunjukkan keinginan untuk melihat konten dari Ferry Mas Afrtheka. Indikasi buzzer: Tidak. Topik: tidak relevan.

3. Komentar 3: Sentimen Negatif. Alasan: Komentar ini mengkritik pengambilan kebijakan yang dianggap tidak kreatif dan mungkin berkaitan dengan kerusakan alam di Raja Ampat. Indikasi buzzer: Ya (karena mengkritik pelestarian). Topik: kerusakan alam / isu sosial.

4. Komentar 4: Sentimen Negatif. Alasan: Komentar ini menunjukkan kekecewaan dan mungkin kritikan terhadap video, yang dianggap salah. Topik: kerusakan alam.

5. Komentar 5: Sentimen Negatif. Alasan: Komentar ini menunjukkan kekecewaan dan kritik terhadap pembagian sumber daya yang dianggap tidak padan. Indikasi buzzer: Ya (karena mengkritik isu sosial). Topik: isu sosial.

6. Komentar 6: Sentimen Negatif. Alasan: Komentar ini mengkritik kebijakan pemerintah yang dianggap tidak kreatif dan mungkin berkaitan dengan kerusakan alam. Indikasi buzzer: Ya (karena mengkritik pelestarian). Topik: isu s"
negara alami mundur revolusi industri mnggerus alam kuasa kalo gak cipta lapang kerja rakyat benah birokrasi investor asing buka industri negara,"1. **Komentar 1**: Buset buzzer pt gag goks
   - Sentimen: Negatif
   - Indikasi buzzer: Tidak
   - Topik: Kerusakan alam / isu sosial
   - Alasan: Komentar ini menunjukkan frustrasi terhadap sesuatu yang dianggap sebagai salah guna atau tidak bertanggung jawab, tanpa menyebutkan kerusakan alam langsung.

2. **Komentar 2**: bodoh electuall perintah ta
   - Sentimen: Negatif
   - Indikasi buzzer: Tidak
   - Topik: Isu sosial / konten settingan
   - Alasan: Komentar ini menyampaikan kritikan terhadap perintah atau kebijakan tanpa mengutamakan kerusakan alam.

3. **Komentar 3**: anak muda tolong analisis negara Indonesia kelola bangsat kecuali
   - Sentimen: Negatif
   - Indikasi buzzer: Tidak
   - Topik: Isu sosial
   - Alasan: Komentar ini mengkritik kepentingan sosial dan politik negara, tanpa mengutamakan kerusakan alam.

4. **Komentar 4**: mula fokus keren lo fokus Raja Ampat kelas haha banyak konten bang langsung bedah langkah politik bijak perintah buka gambar langsung ajak ajar masyarakat kritisi perintah argumen bulletproof terima kasih
   - Sentimen: Negatif
   - Indikasi buzzer: Tidak
   - Topik: Konten settingan / isu sosial
   - Alasan: Komentar ini kritik perintuan politik dan menganggap konten sebagai tidak relevan dengan kerusakan alam di Raja Ampat.

5. **Komentar 5**: bawa acara kaos ko palu arit ya
   - Sentimen: Negatif
   - In"
orang goblok anggep indonesia aja,"1. Komentar 1: Sentimen Negatif. Ini menunjukkan kekecewaan dan kecemasan terhadap situasi di Raja Ampat. Buzzer: Tidak (Komentar ini tidak menyebutkan pernyataan yang menyalahkan pelestarian atau menyangkal kerusakan alam). Topik: kerusakan alam. Alasan: Komentar ini menyampaikan kekecewaan mengenai keadaan alam di Raja Ampat tanpa menyebutkan solusi atau menyalahkan pelestaran.

2. Komentar 2: Sentimen Negatif. Komentar ini menunjukkan kritikan terhadap peran pengawas atau badan yang bertanggung jawab dalam pelestarian alam. Buzzer: Tidak (Komentar ini tidak menyebutkan pernyataan yang mendukung perusakan alam). Topik: kerusakan alam / isu sosial. Alasan: Komentar ini mengkritik keterlibatan dan keberkesanan peran pengawas di Raja Ampat.

3. Komentar 3: Sentimen Tidak Terpulang. Komentar ini fokus pada keuntungan ekonomi tanpa menyebutkan aspek pelestarian alam. Buzzer: Tidak (Komentar ini tidak menyentuh sentimen positif atau negatif terhadap kerusakan alam). Topik: tidak relevan. Alasan: Komentar ini berfokus pada ekonomi dan kepentingan masyarakat, bukan pada kerusakan alam.

4. Komentar 4: Sentimen Positif. Komentar ini menunjukkan doa dan kesedaran masyarakat dalam menghadapi isu-isu sosial dan pelestarian alam. Buzzer: Tidak (Komentar ini tidak menyebutkan pernyataan yang menyalahkan pelestarian). Topik: kerusakan alam / isu sosial. Alasan: Komentar ini menunjukkan ke"
revolusi,"1. **Sentimen:** Negatif
   **Indikasi Buzzer:** Tidak
   **Topik:** Kerusakan alam / isu sosial
   **Alasan:** Komentar ini mengkritik peran penguasaan dan korupsi yang menyebabkan kerusakan alam di Raja Ampat. Komentar ini menunjukkan kekecewaan dan kritik terhadap keadaan yang disebabkan oleh pihak tertentu.

2. **Sentimen:** Negatif
   **Indikasi Buzzer:** Tidak
   **Topik:** Kerusakan alam / isu sosial
   **Alasan:** Komentar ini menunjukkan kekecewaan dan kekeliruan tentang keadaan Pulau Cabik di Raja Ampat. Tidak ada komitment terhadap pelestarian alam.

3. **Sentimen:** Tidak Terdeteksi
   **Indikasi Buzzer:** Tidak
   **Topik:** Tidak Relevan
   **Alasan:** Komentar ini tidak berkaitan dengan kerusakan alam atau isu sosial di Raja Ampat.

4. **Sentimen:** Tidak Terdeteksi
   **Indikasi Buzzer:** Tidak
   **Topik:** Tidak Relevan
   **Alasan:** Komentar ini hanya berisi perkataan-perkataan yang tidak memiliki arti konteks yang jelas dan tidak berkaitan dengan topik video.

5. **Sentimen:** Tidak Terdeteksi
   **Indikasi Buzzer:** Tidak
   **Topik:** Tidak Relevan
   **Alasan:** Komentar ini menyerukan untuk menutup pintu, tidak berkaitan dengan kerusakan alam atau isu sosial di Raja Ampat.

6. **Sentimen:** Positif
   **Indikasi Buzzer:** Tidak
   **Topik:** Kerusakan alam
   **Alasan:** Komentar ini mendesak untuk memanfaatkan ekosistem tanpa rusuhnya"
provinsi papua barat daya gubernur walikota bupati kepala distrik libat,"1. Sentimen: Negatif. Alasan: Komentar ini menunjukkan kekecewaan dan kekesalahan terhadap keadaan Raja Ampat, menyalahkan pihak yang dianggap tidak berkelanjutan dalam pelestarian alam.

2. Sentimen: Negatif. Alasan: Komentar ini menghentikan tanggung jawab terhadap kerusakan alam dengan menawarkan ""jajahan"" dari negara-negara lain, menunjukkan kekurangan peduli.

3. Sentimen: Negatif. Alasan: Komentar ini mengkritik individu yang sangat ""tamak"" dan ""sanggup rusak alam"" untuk kepentingan pribadi, menunjukkan kekesalahan terhadap kondisi kerusakan alam.

4. Sentimen: Negatif. Alasan: Komentar ini menekankan isu korupsi dan eksploitasi ekonomi di Raja Ampat, menunjukkan kekecewaan terhadap situasi sosial dan pelestarian alam.

5. Sentimen: Negatif. Alasan: Komentar ini mengungkap kekecewaan dan kesederhanaan atas kerusakan alam yang tidak dihargai, menunjukkan sentimen negatif.

6. Sentimen: Negatif. Alasan: Komentar ini mengekspresikan kesulitan dalam memahami dan menerima keadaan yang berada, sifat ""bodoh"" digunakan untuk menunjukkan kekecewaan dan kekecewaan.

7. Sentimen: Negatif. Alasan: Komentar ini mengkritik ""bahlil"" dan ""tito"" dengan kata-kata yang kritikus, menunjukkan sentimen negatif terhadap situasi.

8. Sentimen: Tidak Relevan. Alasan: Komentar ini mengingatkan tentang pakaian pengunggah video, tidak berkaitan dengan isu kerusakan alam di Raja Amp"
mulyono beban negara geng,"1. Sentimen: Negatif. Indikasi buzzer: Ya. Topik: kerusakan alam. Alasan: Komentar ini menunjukkan kecemasan dan kritisme terhadap kerusakan alam, khususnya terhadap tambang nikel di Raja Ampat. Pengguna membantah praktik eksploitasi sumber daya alam dan menyalahkan pihak yang terlibat dalam produksi tambang.

2. Sentimen: Negatif. Indikasi buzzer: Ya. Topik: kerusakan alam, isu sosial. Alasan: Komentar ini menyampaikan kekhawatiran tentang kerusakan alam di Raja Ampat, mendesak pelaksanaan sarana transportasi yang lebih murah untuk warga lokal, dan menciptakan isu sosial yang terkait dengan ekonomi masyarakat sekitar.

3. Sentimen: Negatif. Indikasi buzzer: Tidak. Topik: tidak relevan. Alasan: Komentar ini berfokus pada konten video dan tidak menyentuh topik kerusakan alam.

4. Sentimen: Negatif. Indikasi buzzer: Ya. Topik: kerusakan alam. Alasan: Komentar ini menunjukkan kecemasan terhadap keadaan negara dan kerusakan alam tanpa menyebutkan solusi, sehingga menyampaikan sentimen negatif.

5. Sentimen: Negatif. Indikasi buzzer: Ya. Topik: kerusakan alam. Alasan: Komentar ini mengkritik tindakan orang yang tidak memandang peduli terhadap kerusakan alam, khususnya terhadap sampah yang dibuang sembarangan di Raja Ampat.

6. Sentimen: Negatif. Indikasi buzzer: Ya. Topik: kerusakan alam, isu sosial. Alasan: Komentar ini mengkritik kebijaksana"
jabat kaya orang gak sekolah,"1. **Komentar 1**: Sentimen: Netral. Indikasi buzzer: Tidak. Topik: tidak relevan. Alasan: Komentar ini terlalu singkat dan tidak memberikan tanggapan terhadap isu kerusakan alam di Raja Ampat.

2. **Komentar 2**: Sentimen: Negatif. Indikasi buzzer: Tidak. Topik: isu sosial. Alasan: Komentar ini mengingatkan terhadap perilaku ""sibbal"" (tidak peduli) terhadap kerusakan alam, yang tidak menunjukkan kepedulian atau kritik terhadap masalah.

3. **Komentar 3**: Sentimen: Negatif. Indikasi buzzer: Ya. Topik: kerusakan alam. Alasan: Komentar ini menjelaskan berbagai gejala kerusakan alam di Raja Ampat, termasuk hutan tropis yang hilang, habitat flora dan fauna yang terganggu, dan dampak negatif aktivitas tambang nikel. Indikasi buzzer: Ya, karena mengandung informasi yang serius tentang kerusakan alam dan dampaknya.

4. **Komentar 4**: Sentimen: Netral. Indikasi buzzer: Tidak. Topik: konten settingan. Alasan: Komentar ini terhubung dengan konteks video dan tidak memberikan tanggapan terhadap kerusakan alam atau isu sosial.

5. **Komentar 5**: Sentimen: Negatif. Indikasi buzzer: Tidak. Topik: isu sosial. Alasan: Komentar ini menunjukkan kekecewaan terhadap pemahaman dan tindakan pemerintah terkait kerusakan alam.

6. **Komentar 6**: Sentimen: Negatif. Indikasi buzzer: Tidak. Topik: kerusakan alam. Alasan: Komentar ini menyimpulkan r"
baju jersey merah lambang palu arit bg baju tim bg,"1. **Komentar 1**: Sentimen: Netral. Indikasi Buzzer: Tidak. Topik: Konten Settingan. Alasan: Komentar ini hanya sebuah wishlist tanpa menunjukkan sentimen positif atau negatif terhadap kerusakan alam di Raja Ampat.

2. **Komentar 2**: Sentimen: Negatif. Indikasi Buzzer: Ya. Topik: Kerusakan Alam. Alasan: Komentar ini mengkritik kerusakan alam di Palu, menyatakan rusaknya lingkungan dan korupsi sebagai penyebab.

3. **Komentar 3**: Sentimen: Netral. Indikasi Buzzer: Tidak. Topik: Isu Sosial. Alasan: Komentar ini berfokus pada isu negara tanpa menyebutkan sentimen terhadap kerusakan alam di Raja Ampat.

4. **Komentar 4**: Sentimen: Negatif. Indikasi Buzzer: Ya. Topik: Kerusakan Alam. Alasan: Komentar ini mengkritik perintah presiden yang dianggap menimbulkan kerusakan alam, menggunakan kata-kata kritik dan kecewa.

5. **Komentar 5**: Sentimen: Negatif. Indikasi Buzzer: Ya. Topik: Kerusakan Alam / Isu Sosial. Alasan: Komentar ini menunjukkan kekecewaan atas kebodohan manusia yang tidak peduli terhadap kerusakan alam.

6. **Komentar 6**: Sentimen: Negatif. Indikasi Buzzer: Ya. Topik: Kerusakan Alam. Alasan: Komentar ini mengkritik pengambilan keuntungan ekonomi tanpa peduli terhadap keindahan alam Raja Ampat yang rusak.

7. **Komentar 7**: Sentimen: Negatif. Indikasi Buzzer: Ya"
gitu bang ferry hitung untung ga gitu hitung untung taipan taipan konservasi taipan taipan ga dapet kalo tambang ya dapet duit bargaining power,"1. **Komentar 1:** Sentimen: Negatif. Indikasi Buzzer: Tidak. Topik: Konten settingan. Alasan: Komentar ini terkait dengan reaksi terhadap komentator lain yang dianggap diam dalam waktu krisis alam di Raja Ampat, bukan langganan langsung terhadap kerusakan alam.

2. **Komentar 2:** Sentimen: Negatif. Indikasi Buzzer: Ya. Topik: Isu sosial. Alasan: Komentar ini menunjukkan kritik terhadap kehadiran atau tindakan seseorang (Dede) yang disebutkan sebagai ""cobuzer"" terhadap Raja Ampat, sangat menandai sentimen negatif.

3. **Komentar 3:** Sentimen: Negatif. Indikasi Buzzer: Tidak. Topik: Kerusakan alam. Alasan: Komentar ini menyoroti kritikan terhadap seseorang (Jokwi) yang dianggap bertanggung jawab atas keadaan degradasi alam di Raja Ampat.

4. **Komentar 4:** Sentimen: Negatif. Indikasi Buzzer: Tidak. Topik: Isu sosial. Alasan: Komentar ini menegaskan kritikan atas kebijakan atau tindakan dari seseorang (lu) yang dianggap tidak baik untuk masyarakat.

5. **Komentar 5:** Sentimen: Positif. Indikasi Buzzer: Tidak. Topik: Konten settingan. Alasan: Komentar ini menunjukkan kepuasan atau kebahagiaan dengan pilihan politis (Jokowi) dan menyinggung sentimen positif, meskipun tidak langsung terkait dengan kerusakan alam.

6. **Komentar 6:** Sentimen: Tidak Relevan. Indikasi Buzzer: Tidak. Topik: Tidak"
keren bgtt,"1. **Sentimen**: Netral - Indikasi buzzer: Tidak - Topik: tidak relevan - Alasan: Komentar ini tidak berkaitan dengan kerusakan alam di Raja Ampat, tetapi lebih ke arah kepentingan atau keuntungan dari ""premium"" atau ""tambang"".

2. **Sentimen**: Netral - Indikasi buzzer: Tidak - Topik: tidak relevan - Alasan: Komentar ini berkaitan dengan identitas sejarah dan karakter anime, bukan dengan isu alam di Raja Ampat.

3. **Sentimen**: Netral - Indikasi buzzer: Tidak - Topik: konten settingan - Alasan: Komentar ini berkaitan dengan trending video atau konten video.

4. **Sentimen**: Positif - Indikasi buzzer: Tidak - Topik: kerusakan alam / isu sosial - Alasan: Komentar ini menunjukkan tugas dan tanggung jawab dalam pariwisata, yang bisa diinterpreto sebagai upaya untuk melindungi alam.

5. **Sentimen**: Negatif - Indikasi buzzer: Tidak - Topik: kerusakan alam / isu sosial - Alasan: Komentar ini menunjukkan kekesalahan atau kegagalan dalam mengikuti aturan atau memenuhi syarat, yang dapat disebabkan oleh kerusakan alam.

6. **Sentimen**: Negatif - Indikasi buzzer: Tidak - Topik: kerusakan alam - Alasan: Komentar ini menciptakan kacung terhadap manusia yang dianggap noda atau tamak, yang dapat disimbolisasikan terhadap kerusakan alam yang disebabkan oleh greed (keinginan melimpah).

7. **Sentimen**: Negatif - Indikasi buzzer: Ya - Topik: kerusakan alam - Alasan: """
nikmat main baik bonus,"Hasil analisis bagi setiap komentar berikut:

1. **Komentar 1**: Sentimen: Positif. Indikasi buzzer: Tidak. Topik: Kerusakan alam. Alasan: Komentar ini menunjukkan dukungan dari warga adat terhadap cara tradisional (tambang dengar) dalam menghargai dan melestarikan alam.

2. **Komentar 2**: Sentimen: Negatif. Indikasi buzzer: Ya. Topik: Kerusakan alam / Isu sosial. Alasan: Komentar ini menyentuh sejarah eksploitasi tambang nikel, menunjukkan kekecewaan atau kritik terhadap praktik tersebut.

3. **Komentar 3**: Sentimen: Negatif. Indikasi buzzer: Tidak. Topik: Isu sosial. Alasan: Komentar ini bertujuan untuk membantu atau menyerang seseorang (“lu ngelawan gnk solo”) dan dapat diinterpretasikan sebagai kritikan terhadap situasi yang tidak menentu.

4. **Komentar 4**: Sentimen: Kosong. Indikasi buzzer: Tidak. Topik: Konten settingan. Alasan: Komentar ini hanya bertujuan untuk menyenangkan dengan referensi sejarah (logo CCCP) dan tidak berkaitan dengan kerusakan alam atau isu sosial.

5. **Komentar 5**: Sentimen: Kosong. Indikasi buzzer: Tidak. Topik: Konten settingan. Alasan: Komentar ini juga hanya menunjukkan kegembiraan dengan gambar AI tanpa mengaitkan isu alam atau sosial.

6. **Komentar 6**: Sentimen: Kosong. Indikasi buzzer: Tidak. Topik: Konten settingan. Alasan: Komentar ini hanya mengacu pada ""asa gambar"
teryubito,"1. **Komentar 1: angkat tri bahlul**
   - Sentimen: Negatif
   - Indikasi buzzer: Tidak
   - Topik: Kerusakan alam / isu sosial
   - Alasan: Komentar ini tidak terkait dengan pelestarian alam di Raja Ampat dan lebih menunjukkan kekecewaan atau kritikan terhadap sesuatu yang tidak jelas.

2. **Komentar 2: seteju banget analisa admin**
   - Sentimen: Negatif
   - Indikasi buzzer: Tidak
   - Topik: Konten settingan / tidak relevan
   - Alasan: Komentar ini menunjukkan kekecewaan dengan analisis atau konten video tanpa membahas isu-isu yang dicakup, sehingga tidak relevan dengan kerusakan alam di Raja Ampat.

3. **Komentar 3 & 4: gua pahamin bang ferry pakai sistem hitung ulang**
   - Sentimen: Tidak ada sentimen terbatas
   - Indikasi buzzer: Ya (karena konten yang tidak terhubung dengan topik video)
   - Topik: Tidak relevan
   - Alasan: Komentar ini berisi urutan rumus matematika dan teknologi hitung tanpa kaitnya dengan kerusakan alam di Raja Ampat.

4. **Komentar 5: akibat izsahnya palsu goblok perkosa pertiwi**
   - Sentimen: Negatif
   - Indikasi buzzer: Ya (karena kata-kata kesatuan dan kritikan)
   - Topik: Isu sosial
   - Alasan: Komentar ini menunjukkan kritikan sosial dan kesatuan yang tidak terkait langsung dengan kerusakan alam, tetapi menyimpulkan kebodohan dan perilaku ""perkosa pertiwi"".

5. **Komentar 6: bang beli jerseynya mana"
keren palu arit,"Hasil analisis bagi setiap komentar berikut:

1. Sentimen: Negatif
   Indikasi Buzzer: Tidak
   Topik: kerusakan alam / isu sosial / tidak relevan
   Alasan: Komentar ini mengkritik dengan kata-kata keras, menunjukkan kekecewaan dan kritikan terhadap keadaan alam di Raja Ampat tanpa menyertakan usulan pelestarian.

2. Sentimen: Negatif
   Indikasi Buzzer: Tidak
   Topik: isu sosial
   Alasan: Komentar ini menggunakan bahasa yang agresif dan menganggap sebagai pertempuran politik tanpa memberikan perhatian kepada kerusakan alam.

3. Sentimen: Negatif
   Indikasi Buzzer: Tidak
   Topik: isu sosial / konten settingan / tidak relevan
   Alasan: Komentar ini menggunakan kata-kata sara dan tidak berkaitan dengan kerusakan alam di Raja Ampat.

4. Sentimen: Negatif
   Indikasi Buzzer: Tidak
   Topik: isu sosial
   Alasan: Komentar ini menunjukkan kritikan negatif terhadap negara tanpa memberikan konteks yang relevan dengan kerusakan alam.

5. Sentimen: Negatif
   Indikasi Buzzer: Tidak
   Topik: isu sosial
   Komentar ini menggunakan kata-kata kesat dan menganggap orang lain sebagai ""bangsat"" tanpa membahas isu alam.

6. Komentar kosong, tidak dapat dianalisis.

7. Sentimen: Negatif
   Indikasi Buzzer: Tidak
   Topik: kerusakan alam / isu sosial
   Alasan: Komentar ini menyampaikan kritikan terhadap ekonomi dan turis di Raja Ampat tanpa menyertakan usulan pelestarian."
